Age Groups,فئات السن,Highest Educational Level, أعلى مؤهل علمي ,Nationality,الجنسية,Sex,الجنس,Population
40 - 44,40 - 44,Preparatory,إعدادي,Non-Bahraini,غير بحريني,Male,ذكر,9646
65 Years & Above,65 سنة فأكثر,Preparatory,إعدادي,Non-Bahraini,غير بحريني,Male,ذكر,75
15 - 19,15 - 19,Secondary,ثانوي,Non-Bahraini,غير بحريني,Male,ذكر,2660
20 - 24,20 - 24,Secondary,ثانوي,Non-Bahraini,غير بحريني,Male,ذكر,11204
25 - 29,25 - 29,Secondary,ثانوي,Non-Bahraini,غير بحريني,Male,ذكر,19917
60 - 64,60 - 64,Secondary,ثانوي,Non-Bahraini,غير بحريني,Male,ذكر,4228
35 - 39,35 - 39,Above Secondary / Diploma,فوق الثانوي / دبلوم,Non-Bahraini,غير بحريني,Male,ذكر,11203
55 - 59,55 - 59,Above Secondary / Diploma,فوق الثانوي / دبلوم,Non-Bahraini,غير بحريني,Male,ذكر,2858
15 - 19,15 - 19,Bachelor,بكالوريوس,Non-Bahraini,غير بحريني,Male,ذكر,0
30 - 34,30 - 34,Bachelor,بكالوريوس,Non-Bahraini,غير بحريني,Male,ذكر,18136
35 - 39,35 - 39,Bachelor,بكالوريوس,Non-Bahraini,غير بحريني,Male,ذكر,16533
45 - 49,45 - 49,Bachelor,بكالوريوس,Non-Bahraini,غير بحريني,Male,ذكر,8330
60 - 64,60 - 64,Bachelor,بكالوريوس,Non-Bahraini,غير بحريني,Male,ذكر,1885
65 Years & Above,65 سنة فأكثر,Bachelor,بكالوريوس,Non-Bahraini,غير بحريني,Male,ذكر,1249
20 - 24,20 - 24,High Diploma,دبلوم عالي,Non-Bahraini,غير بحريني,Male,ذكر,495
35 - 39,35 - 39,High Diploma,دبلوم عالي,Non-Bahraini,غير بحريني,Male,ذكر,3553
45 - 49,45 - 49,High Diploma,دبلوم عالي,Non-Bahraini,غير بحريني,Male,ذكر,2005
65 Years & Above,65 سنة فأكثر,High Diploma,دبلوم عالي,Non-Bahraini,غير بحريني,Male,ذكر,259
15 - 19,15 - 19,Masters,ماجستير,Non-Bahraini,غير بحريني,Male,ذكر,0
20 - 24,20 - 24,Masters,ماجستير,Non-Bahraini,غير بحريني,Male,ذكر,198
30 - 34,30 - 34,Masters,ماجستير,Non-Bahraini,غير بحريني,Male,ذكر,1383
35 - 39,35 - 39,Masters,ماجستير,Non-Bahraini,غير بحريني,Male,ذكر,1479
40 - 44,40 - 44,Masters,ماجستير,Non-Bahraini,غير بحريني,Male,ذكر,1314
